,variable,column,year,sample,population
464,New Mexico,BPL,1880,1880 10%,9797.850000000151
465,North Carolina,BPL,1880,1880 10%,751.9499999999998
466,SOUTH AMERICA,BPL,1880,1880 10%,50.17
467,Australia and New Zealand,BPL,1880,1880 10%,35.14
468,Finland,BPL,1880,1880 10%,20.29
469,Oklahoma,BPL,1880,1880 10%,71.11000000000001
470,Oregon,BPL,1880,1880 10%,45.4
471,"Europe, ns",BPL,1880,1880 10%,30.439999999999998
472,Nevada,BPL,1880,1880 10%,143.53
473,Portugal,BPL,1880,1880 10%,10.02
474,Spain,BPL,1880,1880 10%,15.18
475,Arizona,BPL,1880,1880 10%,30.55
476,Hawaii,BPL,1880,1880 10%,4.73
477,India,BPL,1880,1880 10%,15.06
478,South Dakota,BPL,1880,1880 10%,20.36
479,Idaho,BPL,1880,1880 10%,30.68
480,Hungary,BPL,1880,1880 10%,55.69999999999999
481,Central America,BPL,1880,1880 10%,5.16
482,Greece,BPL,1880,1880 10%,10.33
483,Iceland,BPL,1880,1880 10%,10.02
484,Delaware,BPL,1900,1900 5%,353.38
485,New Jersey,BPL,1900,1900 5%,2982.029999999997
486,Nebraska,BPL,1900,1900 5%,12100.790000000015
487,Colorado,BPL,1900,1900 5%,153517.7699999937
488,Missouri,BPL,1900,1900 5%,31289.729999999745
489,Illinois,BPL,1900,1900 5%,33381.8799999998
490,Pennsylvania,BPL,1900,1900 5%,20138.48999999978
491,Germany,BPL,1900,1900 5%,14456.909999999976
492,Canada,BPL,1900,1900 5%,10751.709999999957
493,Ireland,BPL,1900,1900 5%,9533.619999999964
494,Tennessee,BPL,1900,1900 5%,3355.85
495,Connecticut,BPL,1900,1900 5%,1692.2199999999978
496,Wisconsin,BPL,1900,1900 5%,9041.959999999954
497,Kansas,BPL,1900,1900 5%,22592.02999999984
498,New York,BPL,1900,1900 5%,21542.38999999991
499,Other USSR/Russia,BPL,1900,1900 5%,3014.839999999994
500,Austria,BPL,1900,1900 5%,7101.989999999999
501,Georgia,BPL,1900,1900 5%,2021.5199999999984
502,Maryland,BPL,1900,1900 5%,2092.7399999999975
503,Massachusetts,BPL,1900,1900 5%,4879.249999999992
504,New Mexico,BPL,1900,1900 5%,10185.510000000042
505,Czechoslovakia,BPL,1900,1900 5%,427.93999999999994
506,Indiana,BPL,1900,1900 5%,15555.039999999966
507,Scotland,BPL,1900,1900 5%,3703.5099999999998
508,Ohio,BPL,1900,1900 5%,24098.919999999875
509,England,BPL,1900,1900 5%,13280.879999999961
510,Iowa,BPL,1900,1900 5%,24299.919999999845
511,Poland,BPL,1900,1900 5%,197.56000000000003
512,Wales,BPL,1900,1900 5%,1785.1099999999979
513,Virginia,BPL,1900,1900 5%,3316.0400000000013
514,Kentucky,BPL,1900,1900 5%,7171.319999999987
515,Italy,BPL,1900,1900 5%,8274.690000000004
516,France,BPL,1900,1900 5%,871.4699999999998
517,California,BPL,1900,1900 5%,1531.7399999999984
518,Sweden,BPL,1900,1900 5%,10615.299999999963
519,Alabama,BPL,1900,1900 5%,996.2700000000002
520,Michigan,BPL,1900,1900 5%,9568.42999999995
521,Utah,BPL,1900,1900 5%,1975.6999999999987
522,Washington,BPL,1900,1900 5%,742.5699999999999
523,Oregon,BPL,1900,1900 5%,481.75
524,Maine,BPL,1900,1900 5%,2592.2499999999977
525,Minnesota,BPL,1900,1900 5%,3138.3599999999997
526,Wyoming,BPL,1900,1900 5%,795.02
527,Arkansas,BPL,1900,1900 5%,2459.789999999997
528,Louisiana,BPL,1900,1900 5%,761.0300000000003
529,Mexico,BPL,1900,1900 5%,367.6
530,SOUTH AMERICA,BPL,1900,1900 5%,39.12
531,Texas,BPL,1900,1900 5%,3602.6200000000026
532,Mississippi,BPL,1900,1900 5%,932.1200000000003
533,New Hampshire,BPL,1900,1900 5%,700.5799999999998
534,Netherlands,BPL,1900,1900 5%,315.02
535,China,BPL,1900,1900 5%,820.0500000000001
536,Rhode Island,BPL,1900,1900 5%,487.30000000000007
537,Hungary,BPL,1900,1900 5%,608.27
538,Vermont,BPL,1900,1900 5%,1950.8599999999976
539,Greece,BPL,1900,1900 5%,19.56
540,Switzerland,BPL,1900,1900 5%,1266.9599999999996
541,District of Columbia,BPL,1900,1900 5%,173.62
542,Arizona,BPL,1900,1900 5%,134.13
543,North Carolina,BPL,1900,1900 5%,1920.4699999999975
544,Florida,BPL,1900,1900 5%,235.65
545,South Carolina,BPL,1900,1900 5%,446.2399999999999
546,West Virginia,BPL,1900,1900 5%,1991.9599999999982
547,South Dakota,BPL,1900,1900 5%,852.6800000000001
548,AFRICA,BPL,1900,1900 5%,38.959999999999994
549,Denmark,BPL,1900,1900 5%,1741.829999999999
550,North Dakota,BPL,1900,1900 5%,157.58
551,Spain,BPL,1900,1900 5%,39.12
552,Norway,BPL,1900,1900 5%,716.9299999999998
553,Finland,BPL,1900,1900 5%,931.2200000000003
554,Nevada,BPL,1900,1900 5%,311.7
555,Australia and New Zealand,BPL,1900,1900 5%,253.58
556,Montana,BPL,1900,1900 5%,448.2099999999999
557,Japan,BPL,1900,1900 5%,58.519999999999996
558,Oklahoma,BPL,1900,1900 5%,1069.5200000000002
559,West Indies,BPL,1900,1900 5%,19.56
560,Luxembourg,BPL,1900,1900 5%,39.129999999999995
561,Idaho,BPL,1900,1900 5%,388.6199999999999
562,Belgium,BPL,1900,1900 5%,38.959999999999994
563,India,BPL,1900,1900 5%,38.58
564,"United States, ns",BPL,1900,1900 5%,117.08000000000001
565,Portugal,BPL,1900,1900 5%,58.699999999999996
566,Abroad (unknown) or at sea,BPL,1900,1900 5%,97.52000000000001
567,Hawaii,BPL,1900,1900 5%,39.14
568,Israel/Palestine,BPL,1900,1900 5%,20.21
569,Germany,BPL,1900,1900 1%,15761.0
570,Colorado,BPL,1900,1900 1%,146618.0
571,New York,BPL,1900,1900 1%,20870.0
572,Canada,BPL,1900,1900 1%,11227.0
573,Wisconsin,BPL,1900,1900 1%,9621.0
574,Other USSR/Russia,BPL,1900,1900 1%,6133.0
575,Austria,BPL,1900,1900 1%,4409.0
576,Iowa,BPL,1900,1900 1%,24786.0
577,Kansas,BPL,1900,1900 1%,21159.0
578,Indiana,BPL,1900,1900 1%,13747.0
579,Nebraska,BPL,1900,1900 1%,11338.0
580,Pennsylvania,BPL,1900,1900 1%,22078.0
581,Missouri,BPL,1900,1900 1%,33311.0
582,Tennessee,BPL,1900,1900 1%,3714.0
583,Ireland,BPL,1900,1900 1%,9433.0
584,Nevada,BPL,1900,1900 1%,200.0
585,Illinois,BPL,1900,1900 1%,40018.0
586,England,BPL,1900,1900 1%,14742.0
587,Sweden,BPL,1900,1900 1%,10926.0
588,New Jersey,BPL,1900,1900 1%,3111.0
589,Ohio,BPL,1900,1900 1%,28282.0
590,Maine,BPL,1900,1900 1%,2408.0
591,China,BPL,1900,1900 1%,1205.0
592,Massachusetts,BPL,1900,1900 1%,5221.0
593,Vermont,BPL,1900,1900 1%,1801.0
594,Connecticut,BPL,1900,1900 1%,1606.0
595,Finland,BPL,1900,1900 1%,1208.0
596,Switzerland,BPL,1900,1900 1%,1208.0
597,Kentucky,BPL,1900,1900 1%,8030.0
598,Denmark,BPL,1900,1900 1%,1702.0
599,North Carolina,BPL,1900,1900 1%,1806.0
600,California,BPL,1900,1900 1%,2108.0
601,Maryland,BPL,1900,1900 1%,1403.0
602,Norway,BPL,1900,1900 1%,601.0
603,France,BPL,1900,1900 1%,400.0
604,Texas,BPL,1900,1900 1%,3514.0
605,Scotland,BPL,1900,1900 1%,5516.0
606,Michigan,BPL,1900,1900 1%,7420.0
607,Utah,BPL,1900,1900 1%,3325.0
608,Virginia,BPL,1900,1900 1%,3708.0
609,Arkansas,BPL,1900,1900 1%,1902.0
610,Georgia,BPL,1900,1900 1%,1805.0
611,Alabama,BPL,1900,1900 1%,1206.0
612,Wyoming,BPL,1900,1900 1%,1303.0
613,Mississippi,BPL,1900,1900 1%,802.0
614,Minnesota,BPL,1900,1900 1%,1903.0
615,Poland,BPL,1900,1900 1%,703.0
616,Italy,BPL,1900,1900 1%,6112.0
617,Louisiana,BPL,1900,1900 1%,1003.0
618,West Virginia,BPL,1900,1900 1%,1404.0
619,Oregon,BPL,1900,1900 1%,200.0
620,Greece,BPL,1900,1900 1%,100.0
621,Syria,BPL,1900,1900 1%,100.0
622,"United States, ns",BPL,1900,1900 1%,700.0
623,Delaware,BPL,1900,1900 1%,503.0
624,Oklahoma,BPL,1900,1900 1%,602.0
625,South Dakota,BPL,1900,1900 1%,1607.0
626,Hawaii,BPL,1900,1900 1%,100.0
627,Wales,BPL,1900,1900 1%,901.0
628,New Mexico,BPL,1900,1900 1%,10022.0
629,Netherlands,BPL,1900,1900 1%,302.0
630,Idaho,BPL,1900,1900 1%,300.0
631,New Hampshire,BPL,1900,1900 1%,402.0
632,Rhode Island,BPL,1900,1900 1%,202.0
633,Washington,BPL,1900,1900 1%,300.0
634,Florida,BPL,1900,1900 1%,301.0
635,North Dakota,BPL,1900,1900 1%,201.0
636,West Indies,BPL,1900,1900 1%,101.0
637,Indonesia,BPL,1900,1900 1%,101.0
638,Montana,BPL,1900,1900 1%,401.0
639,South Carolina,BPL,1900,1900 1%,501.0
640,Mexico,BPL,1900,1900 1%,202.0
641,SOUTH AMERICA,BPL,1900,1900 1%,100.0
642,Hungary,BPL,1900,1900 1%,502.0
643,Arizona,BPL,1900,1900 1%,101.0
644,Germany,BPL,1900,1900 1% sample with oversamples,15768.510000000006
645,Colorado,BPL,1900,1900 1% sample with oversamples,144695.39999999964
646,New York,BPL,1900,1900 1% sample with oversamples,20893.86000000002
647,Canada,BPL,1900,1900 1% sample with oversamples,11322.459999999992
648,Wisconsin,BPL,1900,1900 1% sample with oversamples,9531.939999999999
649,Other USSR/Russia,BPL,1900,1900 1% sample with oversamples,6242.8499999999985
650,Austria,BPL,1900,1900 1% sample with oversamples,4424.169999999998
651,Iowa,BPL,1900,1900 1% sample with oversamples,24135.610000000008
652,Kansas,BPL,1900,1900 1% sample with oversamples,21133.52000000002
653,Indiana,BPL,1900,1900 1% sample with oversamples,13770.679999999991
654,Nebraska,BPL,1900,1900 1% sample with oversamples,11048.509999999997
655,Pennsylvania,BPL,1900,1900 1% sample with oversamples,21913.040000000005
656,Missouri,BPL,1900,1900 1% sample with oversamples,32837.100000000006
657,Tennessee,BPL,1900,1900 1% sample with oversamples,3678.16
658,Ireland,BPL,1900,1900 1% sample with oversamples,9323.470000000001
659,Nevada,BPL,1900,1900 1% sample with oversamples,206.38
660,Illinois,BPL,1900,1900 1% sample with oversamples,39228.69000000013
661,England,BPL,1900,1900 1% sample with oversamples,14739.800000000001
662,Sweden,BPL,1900,1900 1% sample with oversamples,10919.230000000005
663,New Jersey,BPL,1900,1900 1% sample with oversamples,3107.25
664,Ohio,BPL,1900,1900 1% sample with oversamples,27985.340000000026
665,Maine,BPL,1900,1900 1% sample with oversamples,2417.2199999999993
666,China,BPL,1900,1900 1% sample with oversamples,1150.0700000000002
667,Massachusetts,BPL,1900,1900 1% sample with oversamples,5191.210000000003
668,Vermont,BPL,1900,1900 1% sample with oversamples,1821.8000000000004
669,Connecticut,BPL,1900,1900 1% sample with oversamples,1564.88
670,Finland,BPL,1900,1900 1% sample with oversamples,1265.67
671,Switzerland,BPL,1900,1900 1% sample with oversamples,1215.29
672,Kentucky,BPL,1900,1900 1% sample with oversamples,8036.829999999993
673,Denmark,BPL,1900,1900 1% sample with oversamples,1712.5000000000002
674,North Carolina,BPL,1900,1900 1% sample with oversamples,1721.4
675,California,BPL,1900,1900 1% sample with oversamples,2066.1000000000004
676,Maryland,BPL,1900,1900 1% sample with oversamples,1352.5000000000002
677,Norway,BPL,1900,1900 1% sample with oversamples,605.05
678,France,BPL,1900,1900 1% sample with oversamples,400.19000000000005
679,Texas,BPL,1900,1900 1% sample with oversamples,3512.4100000000003
680,Scotland,BPL,1900,1900 1% sample with oversamples,5438.049999999999
681,Michigan,BPL,1900,1900 1% sample with oversamples,7343.509999999998
682,Utah,BPL,1900,1900 1% sample with oversamples,3736.5100000000007
683,Virginia,BPL,1900,1900 1% sample with oversamples,3745.98
684,Arkansas,BPL,1900,1900 1% sample with oversamples,1904.8000000000004
685,Georgia,BPL,1900,1900 1% sample with oversamples,1790.6100000000001
686,Alabama,BPL,1900,1900 1% sample with oversamples,1230.88
687,Wyoming,BPL,1900,1900 1% sample with oversamples,1283.73
688,Mississippi,BPL,1900,1900 1% sample with oversamples,789.95
689,Minnesota,BPL,1900,1900 1% sample with oversamples,1900.2900000000004
690,Poland,BPL,1900,1900 1% sample with oversamples,697.0200000000001
691,Italy,BPL,1900,1900 1% sample with oversamples,5905.639999999998
692,Louisiana,BPL,1900,1900 1% sample with oversamples,1032.19
693,West Virginia,BPL,1900,1900 1% sample with oversamples,1395.39
694,Oregon,BPL,1900,1900 1% sample with oversamples,181.44
695,Greece,BPL,1900,1900 1% sample with oversamples,101.26
696,Syria,BPL,1900,1900 1% sample with oversamples,101.26
697,"United States, ns",BPL,1900,1900 1% sample with oversamples,601.26
698,Delaware,BPL,1900,1900 1% sample with oversamples,457.3
699,Oklahoma,BPL,1900,1900 1% sample with oversamples,585.58
700,South Dakota,BPL,1900,1900 1% sample with oversamples,1611.3500000000001
701,Hawaii,BPL,1900,1900 1% sample with oversamples,101.26
702,Wales,BPL,1900,1900 1% sample with oversamples,879.2
703,New Mexico,BPL,1900,1900 1% sample with oversamples,9669.739999999993
704,Netherlands,BPL,1900,1900 1% sample with oversamples,308.51
705,Idaho,BPL,1900,1900 1% sample with oversamples,293.68
706,New Hampshire,BPL,1900,1900 1% sample with oversamples,413.33000000000004
707,Rhode Island,BPL,1900,1900 1% sample with oversamples,191.06
708,Washington,BPL,1900,1900 1% sample with oversamples,287.71000000000004
709,Florida,BPL,1900,1900 1% sample with oversamples,304.51
710,North Dakota,BPL,1900,1900 1% sample with oversamples,177.64
711,West Indies,BPL,1900,1900 1% sample with oversamples,89.01
712,Indonesia,BPL,1900,1900 1% sample with oversamples,89.01
713,Montana,BPL,1900,1900 1% sample with oversamples,406.31
714,South Carolina,BPL,1900,1900 1% sample with oversamples,531.08
715,Mexico,BPL,1900,1900 1% sample with oversamples,204.58999999999997
716,SOUTH AMERICA,BPL,1900,1900 1% sample with oversamples,97.46
717,Hungary,BPL,1900,1900 1% sample with oversamples,492.62
718,Arizona,BPL,1900,1900 1% sample with oversamples,155.0
719,Texas,BPL,1910,1910 1%,7014.0
720,Kentucky,BPL,1910,1910 1%,9434.0
721,Indiana,BPL,1910,1910 1%,15646.0
722,Kansas,BPL,1910,1910 1%,35710.0
723,England,BPL,1910,1910 1%,14857.0
724,Missouri,BPL,1910,1910 1%,47058.0
725,Michigan,BPL,1910,1910 1%,10533.0
726,Canada,BPL,1910,1910 1%,11836.0
727,Pennsylvania,BPL,1910,1910 1%,23073.0
728,Ireland,BPL,1910,1910 1%,10832.0
729,Colorado,BPL,1910,1910 1%,227596.0
730,Illinois,BPL,1910,1910 1%,54755.0
731,Nebraska,BPL,1910,1910 1%,24159.0
732,Oklahoma,BPL,1910,1910 1%,3920.0
733,Virginia,BPL,1910,1910 1%,6113.0
734,New York,BPL,1910,1910 1%,25987.0
735,Utah,BPL,1910,1910 1%,2005.0
736,Denmark,BPL,1910,1910 1%,3514.0
737,Austria,BPL,1910,1910 1%,11220.0
738,Sweden,BPL,1910,1910 1%,15539.0
739,Vermont,BPL,1910,1910 1%,1808.0
740,Italy,BPL,1910,1910 1%,12323.0
741,Ohio,BPL,1910,1910 1%,29293.0
742,Germany,BPL,1910,1910 1%,15642.0
743,Wisconsin,BPL,1910,1910 1%,11527.0
744,West Virginia,BPL,1910,1910 1%,2912.0
745,Iowa,BPL,1910,1910 1%,44536.0
746,Scotland,BPL,1910,1910 1%,5015.0
747,Massachusetts,BPL,1910,1910 1%,4413.0
748,Montana,BPL,1910,1910 1%,905.0
749,Florida,BPL,1910,1910 1%,301.0
750,Tennessee,BPL,1910,1910 1%,7727.0
751,California,BPL,1910,1910 1%,2908.0
752,Louisiana,BPL,1910,1910 1%,1005.0
753,France,BPL,1910,1910 1%,801.0
754,Oregon,BPL,1910,1910 1%,502.0
755,New Mexico,BPL,1910,1910 1%,15354.0
756,Finland,BPL,1910,1910 1%,1000.0
757,Georgia,BPL,1910,1910 1%,2506.0
758,District of Columbia,BPL,1910,1910 1%,703.0
759,Maryland,BPL,1910,1910 1%,1604.0
760,New Jersey,BPL,1910,1910 1%,3309.0
761,Arizona,BPL,1910,1910 1%,602.0
762,Wyoming,BPL,1910,1910 1%,2608.0
763,Arkansas,BPL,1910,1910 1%,3313.0
764,South Dakota,BPL,1910,1910 1%,4111.0
765,Minnesota,BPL,1910,1910 1%,4004.0
766,Wales,BPL,1910,1910 1%,2905.0
767,Norway,BPL,1910,1910 1%,2006.0
768,Other USSR/Russia,BPL,1910,1910 1%,16641.0
769,Mexico,BPL,1910,1910 1%,2004.0
770,Switzerland,BPL,1910,1910 1%,1305.0
771,Cuba,BPL,1910,1910 1%,302.0
772,New Hampshire,BPL,1910,1910 1%,1304.0
773,South Carolina,BPL,1910,1910 1%,300.0
774,"United States, ns",BPL,1910,1910 1%,2204.0
775,North Carolina,BPL,1910,1910 1%,4725.0
776,Portugal,BPL,1910,1910 1%,100.0
777,Alabama,BPL,1910,1910 1%,2510.0
778,SOUTH AMERICA,BPL,1910,1910 1%,500.0
779,Japan,BPL,1910,1910 1%,800.0
780,Connecticut,BPL,1910,1910 1%,2205.0
781,U.S. Virgin Islands,BPL,1910,1910 1%,100.0
782,Maine,BPL,1910,1910 1%,3311.0
783,Hungary,BPL,1910,1910 1%,801.0
784,Central America,BPL,1910,1910 1%,100.0
785,Washington,BPL,1910,1910 1%,1407.0
786,Romania,BPL,1910,1910 1%,400.0
787,Turkey,BPL,1910,1910 1%,200.0
788,Mississippi,BPL,1910,1910 1%,801.0
789,Netherlands,BPL,1910,1910 1%,503.0
790,Rhode Island,BPL,1910,1910 1%,401.0
791,Delaware,BPL,1910,1910 1%,401.0
792,Belgium,BPL,1910,1910 1%,300.0
793,Abroad (unknown) or at sea,BPL,1910,1910 1%,201.0
794,North Dakota,BPL,1910,1910 1%,401.0
795,Pacific Islands,BPL,1910,1910 1%,202.0
796,Idaho,BPL,1910,1910 1%,404.0
797,Poland,BPL,1910,1910 1%,201.0
798,Yugoslavia,BPL,1910,1910 1%,600.0
799,Greece,BPL,1910,1910 1%,500.0
800,Texas,BPL,1910,1910 1.4% sample with oversamples,6095.350000000002
801,Kentucky,BPL,1910,1910 1.4% sample with oversamples,9107.169999999993
802,Indiana,BPL,1910,1910 1.4% sample with oversamples,17066.979999999898
803,Kansas,BPL,1910,1910 1.4% sample with oversamples,35066.18999999968
804,England,BPL,1910,1910 1.4% sample with oversamples,14485.419999999927
805,Missouri,BPL,1910,1910 1.4% sample with oversamples,47543.72999999953
806,Michigan,BPL,1910,1910 1.4% sample with oversamples,10828.209999999972
807,Canada,BPL,1910,1910 1.4% sample with oversamples,11330.179999999966
808,Pennsylvania,BPL,1910,1910 1.4% sample with oversamples,22158.389999999836
809,Ireland,BPL,1910,1910 1.4% sample with oversamples,9752.559999999985
810,Colorado,BPL,1910,1910 1.4% sample with oversamples,234646.0199999951
811,Illinois,BPL,1910,1910 1.4% sample with oversamples,54284.46999999945
812,Nebraska,BPL,1910,1910 1.4% sample with oversamples,23449.16999999982
813,Oklahoma,BPL,1910,1910 1.4% sample with oversamples,4159.180000000001
814,Virginia,BPL,1910,1910 1.4% sample with oversamples,5521.670000000002
815,New York,BPL,1910,1910 1.4% sample with oversamples,24237.97999999981
816,Utah,BPL,1910,1910 1.4% sample with oversamples,1864.4600000000005
817,Denmark,BPL,1910,1910 1.4% sample with oversamples,4015.7600000000016
818,Austria,BPL,1910,1910 1.4% sample with oversamples,11330.179999999966
819,Sweden,BPL,1910,1910 1.4% sample with oversamples,13696.609999999937
820,Vermont,BPL,1910,1910 1.4% sample with oversamples,2796.690000000001
821,Italy,BPL,1910,1910 1.4% sample with oversamples,13624.899999999938
822,Ohio,BPL,1910,1910 1.4% sample with oversamples,29401.099999999748
823,Germany,BPL,1910,1910 1.4% sample with oversamples,16851.8499999999
824,Wisconsin,BPL,1910,1910 1.4% sample with oversamples,11545.309999999963
825,West Virginia,BPL,1910,1910 1.4% sample with oversamples,3226.950000000001
826,Iowa,BPL,1910,1910 1.4% sample with oversamples,44245.06999999957
827,Scotland,BPL,1910,1910 1.4% sample with oversamples,4446.020000000001
828,Massachusetts,BPL,1910,1910 1.4% sample with oversamples,4446.020000000001
829,Montana,BPL,1910,1910 1.4% sample with oversamples,860.5200000000001
830,Florida,BPL,1910,1910 1.4% sample with oversamples,215.13
831,Tennessee,BPL,1910,1910 1.4% sample with oversamples,7171.000000000003
832,California,BPL,1910,1910 1.4% sample with oversamples,2653.270000000001
833,Louisiana,BPL,1910,1910 1.4% sample with oversamples,860.5200000000001
834,France,BPL,1910,1910 1.4% sample with oversamples,645.39
835,Oregon,BPL,1910,1910 1.4% sample with oversamples,645.39
836,New Mexico,BPL,1910,1910 1.4% sample with oversamples,15116.299999999928
837,Finland,BPL,1910,1910 1.4% sample with oversamples,788.8100000000001
838,Georgia,BPL,1910,1910 1.4% sample with oversamples,2509.850000000001
839,District of Columbia,BPL,1910,1910 1.4% sample with oversamples,501.9699999999999
840,Maryland,BPL,1910,1910 1.4% sample with oversamples,1864.4600000000005
841,New Jersey,BPL,1910,1910 1.4% sample with oversamples,2868.400000000001
842,Arizona,BPL,1910,1910 1.4% sample with oversamples,435.4599999999999
843,Wyoming,BPL,1910,1910 1.4% sample with oversamples,2509.850000000001
844,Arkansas,BPL,1910,1910 1.4% sample with oversamples,4302.600000000001
845,South Dakota,BPL,1910,1910 1.4% sample with oversamples,4087.4700000000016
846,Minnesota,BPL,1910,1910 1.4% sample with oversamples,4159.180000000001
847,Wales,BPL,1910,1910 1.4% sample with oversamples,2366.4300000000007
848,Norway,BPL,1910,1910 1.4% sample with oversamples,2007.8800000000006
849,Other USSR/Russia,BPL,1910,1910 1.4% sample with oversamples,15847.90999999991
850,Mexico,BPL,1910,1910 1.4% sample with oversamples,2151.3000000000006
851,Switzerland,BPL,1910,1910 1.4% sample with oversamples,1434.2000000000003
852,Cuba,BPL,1910,1910 1.4% sample with oversamples,215.13
853,New Hampshire,BPL,1910,1910 1.4% sample with oversamples,1075.65
854,South Carolina,BPL,1910,1910 1.4% sample with oversamples,215.13
855,"United States, ns",BPL,1910,1910 1.4% sample with oversamples,1721.0400000000004
856,North Carolina,BPL,1910,1910 1.4% sample with oversamples,3657.2100000000014
857,Portugal,BPL,1910,1910 1.4% sample with oversamples,71.71
858,Alabama,BPL,1910,1910 1.4% sample with oversamples,2366.4300000000007
859,SOUTH AMERICA,BPL,1910,1910 1.4% sample with oversamples,358.54999999999995
860,Japan,BPL,1910,1910 1.4% sample with oversamples,788.8100000000001
861,Connecticut,BPL,1910,1910 1.4% sample with oversamples,1864.4600000000005
862,U.S. Virgin Islands,BPL,1910,1910 1.4% sample with oversamples,71.71
863,Maine,BPL,1910,1910 1.4% sample with oversamples,2724.980000000001
864,Hungary,BPL,1910,1910 1.4% sample with oversamples,932.2300000000001
865,Central America,BPL,1910,1910 1.4% sample with oversamples,71.71
866,Washington,BPL,1910,1910 1.4% sample with oversamples,1290.7800000000002
867,Romania,BPL,1910,1910 1.4% sample with oversamples,286.84
868,Turkey,BPL,1910,1910 1.4% sample with oversamples,215.13
869,Mississippi,BPL,1910,1910 1.4% sample with oversamples,1290.7800000000002
870,Netherlands,BPL,1910,1910 1.4% sample with oversamples,645.39
871,Rhode Island,BPL,1910,1910 1.4% sample with oversamples,860.5200000000001
872,Delaware,BPL,1910,1910 1.4% sample with oversamples,286.84
873,Belgium,BPL,1910,1910 1.4% sample with oversamples,215.13
874,Abroad (unknown) or at sea,BPL,1910,1910 1.4% sample with oversamples,358.54999999999995
875,North Dakota,BPL,1910,1910 1.4% sample with oversamples,430.25999999999993
876,Pacific Islands,BPL,1910,1910 1.4% sample with oversamples,143.42
877,Idaho,BPL,1910,1910 1.4% sample with oversamples,286.84
878,Poland,BPL,1910,1910 1.4% sample with oversamples,143.42
879,Yugoslavia,BPL,1910,1910 1.4% sample with oversamples,430.25999999999993
880,Greece,BPL,1910,1910 1.4% sample with oversamples,860.5200000000001
881,Bulgaria,BPL,1910,1910 1.4% sample with oversamples,71.71
882,"Southwest Asia, nec/ns",BPL,1910,1910 1.4% sample with oversamples,71.71
883,Nevada,BPL,1910,1910 1.4% sample with oversamples,215.13
884,"Europe, ns",BPL,1910,1910 1.4% sample with oversamples,430.25999999999993
885,Spain,BPL,1920,1920 1%,794.35
886,Colorado,BPL,1920,1920 1%,317708.1799999945
887,Nebraska,BPL,1920,1920 1%,37367.64000000007
888,Kansas,BPL,1920,1920 1%,54114.970000000016
889,Indiana,BPL,1920,1920 1%,22746.269999999982
890,Ohio,BPL,1920,1920 1%,27555.229999999956
891,Missouri,BPL,1920,1920 1%,65634.59999999999
892,Denmark,BPL,1920,1920 1%,4916.300000000002
893,North Carolina,BPL,1920,1920 1%,2937.969999999999
894,Other USSR/Russia,BPL,1920,1920 1%,15845.969999999948
895,Canada,BPL,1920,1920 1%,13581.72999999998
896,Kentucky,BPL,1920,1920 1%,11878.149999999998
897,"United States, ns",BPL,1920,1920 1%,5659.129999999999
898,Oregon,BPL,1920,1920 1%,1238.9599999999998
899,Pennsylvania,BPL,1920,1920 1%,19299.249999999975
900,New York,BPL,1920,1920 1%,17666.64999999997
901,Germany,BPL,1920,1920 1%,11898.129999999996
902,Illinois,BPL,1920,1920 1%,51068.38999999996
903,Iowa,BPL,1920,1920 1%,43622.010000000046
904,California,BPL,1920,1920 1%,4136.670000000001
905,Sweden,BPL,1920,1920 1%,9260.039999999994
906,England,BPL,1920,1920 1%,10019.289999999999
907,Montana,BPL,1920,1920 1%,1388.2499999999998
908,Poland,BPL,1920,1920 1%,1190.9099999999996
909,Washington,BPL,1920,1920 1%,1702.1100000000001
910,Finland,BPL,1920,1920 1%,1143.0099999999998
911,Italy,BPL,1920,1920 1%,13630.609999999997
912,Switzerland,BPL,1920,1920 1%,2078.68
913,Japan,BPL,1920,1920 1%,1718.61
914,Oklahoma,BPL,1920,1920 1%,14271.709999999988
915,West Virginia,BPL,1920,1920 1%,3873.6700000000014
916,Mississippi,BPL,1920,1920 1%,1753.8199999999997
917,Philippines,BPL,1920,1920 1%,314.03
918,Massachusetts,BPL,1920,1920 1%,3411.3800000000006
919,Georgia,BPL,1920,1920 1%,2603.8399999999997
920,New Mexico,BPL,1920,1920 1%,17034.01999999998
921,Mexico,BPL,1920,1920 1%,13779.990000000003
922,Louisiana,BPL,1920,1920 1%,1894.34
923,Arkansas,BPL,1920,1920 1%,8041.630000000006
924,Scotland,BPL,1920,1920 1%,2392.0899999999992
925,Florida,BPL,1920,1920 1%,625.6
926,New Hampshire,BPL,1920,1920 1%,1175.61
927,Maine,BPL,1920,1920 1%,963.7699999999999
928,Virginia,BPL,1920,1920 1%,4706.760000000001
929,Tennessee,BPL,1920,1920 1%,6359.420000000003
930,Maryland,BPL,1920,1920 1%,1716.89
931,Texas,BPL,1920,1920 1%,10813.120000000008
932,Vermont,BPL,1920,1920 1%,1150.1200000000001
933,Wisconsin,BPL,1920,1920 1%,9530.339999999995
934,District of Columbia,BPL,1920,1920 1%,756.6800000000001
935,Idaho,BPL,1920,1920 1%,1859.9999999999998
936,Ireland,BPL,1920,1920 1%,5765.0700000000015
937,Czechoslovakia,BPL,1920,1920 1%,2046.76
938,Utah,BPL,1920,1920 1%,2534.38
939,Minnesota,BPL,1920,1920 1%,6540.720000000004
